ID,REASON FOR ADDITION,HOSPITAL NAME,CITY,STATE
6040129,Newly Added,HEALTHSOUTH Hospital of Manati,Manati,PR
6230212,Newly Added,Westfield Hospital,Allentown,PA
6232225,Newly Added,Girard Medical Center,Philadelphia,PA
6340023,Newly Added,Spotsylvania Regional Medical Center,Fredericksburg,VA
6340149,Newly Added,Stafford Hospital,Stafford,VA
6340233,Newly Added,Sheltering Arms Hospital South,Midlothian,VA
6360142,Newly Added,Kernersville Medical Center,Kernersville,NC
6360145,Newly Added,Central Regional Hospital,Butner,NC
6360243,Newly Added,Yancey Community Medical Center,Burnsville,NC
6360495,Newly Added,Highsmith-Rainey Specialty Hospital,Fayetteville,NC
6361710,Newly Added,Wake Forest University Health Service,Winston-Salem,NC
6390222,Newly Added,BayCare Alliant Hospital,Dunedin,FL
6390290,Newly Added,Kindred Hosp South Florida-Hollywood,Hollywood,FL
6410033,Status changed to nonregistered,Regency Hospital of Akron,Barberton,OH
6410207,Newly Added,Three Gables Surgery Center,Proctorville,OH
6410297,Newly Added,Diley Ridge Medical Center,Canal Winchester,OH
6420045,Newly Added,Orthopaedic Hospital at Parkview North,Fort Wayne,IN
6420066,Newly Added,Kentuckiana Medical Center,Clarksville,IN
6420198,Newly Added,Physicians' Medical Center,New Albany,IN
6420286,Newly Added,Unity Medical & Surgical Hospital,Mishawaka,IN
6430139,Newly Added,Kindred Hospital Peoria,Peoria,IL
6450243,Newly Added,Wheaton Franciscan Hlthcare - Franklin,Franklin,WI
6540015,Status changed to nonregistered,Choctaw County Hospital,Ackerman,MS
6620131,Newly Added,Continuing Care Hospital at St. Luke's,Cedar Rapids,LA
6660016,Newly Added,Lasting Hope Recovery Center,Omaha,NE
6660133,Newly Added,Midwest Surgical Hospital,Omaha,NE
6710162,Newly Added,Springwoods Behavioral Health Hospital,Fayetteville,AR
6710241,Newly Added,Vista Health Texarkana,Texarkana,AR
6720054,Newly Added,LTAC Hospital of Denham Springs,Denham Springs,LA
6720055,Newly Added,Spec LT Acute Care Hosp of Hammond,Hammond,LA
6720095,Newly Added,Long Term Acute Care Hosp of Feliciana,Clinton,LA
6720188,Newly Added,Long Term Acute Care Hospital,Slidell,LA
6720496,Newly Added,Genesis Behavioral Hospital,Breaux Bridge,LA
6730203,Newly Added,Oklahoma Heart Hospital South Campus,Oklahoma City,OK
6730278,Newly Added,The Children's Center,Bethany,OK
