ID,REASON FOR DELETION,HOSPITAL NAME,CITY,STATE
6350011.0,Status changed from nonregistered to registered,Peterson Rehab Hospital,Wheeling,WV
6350460.0,Outpatient,Guyan Valley Hospital,Logan,WV
6360024.0,Closed,Frye Regional Medical Center,Taylorsville,NC
6380030.0,Status changed from nonregistered to registered,Sumter Regional Hospital East,Americus,GA
6390127.0,Outpatient,Baptist Medical Center South,Jacksonville,FL
6390480.0,Status changed from nonregistered to registered,Lake Wales Medical Center,Lake Wales,FL
6391122.0,Status changed from nonregistered to registered,Florida Hospital Wauchula,Wauchula,FL
6410011.0,Closed,Fox Run Hospital,Saint Clairsville,OH
6411170.0,Closed,Twin Valley Behavioral Health,Dayton,OH
6420052.0,Closed,Select Specialty Hospital,Bloomington,IN
6450010.0,Outpatient,Libertas,Green Bay,WI
6450025.0,Closed,LifeCare Hosp of Milwaukee,Milwaukee,WI
6451190.0,Closed,St Michael Hospital,Milwaukee,WI
6510011.0,Closed,Gateway Rehab Hospital,Louisville,KY
6520025.0,Status changed from nonregistered to registered,Baptist Hospital West,Knoxville,TN
6520026.0,Status changed from nonregistered to registered,Baptist Hosital for Women,Knoxville,TN
6540014.0,Status changed from nonregistered to registered,Scott Regional Hospital,Morton,MS
6540030.0,Status changed from nonregistered to registered,Greene County Hospital,Leakesville,MS
6710018.0,Closed,Select Specialty Hospital,Little Rock,AR
6720077.0,Closed,Comm Specialty Hospital,Minden,LA
6720083.0,Closed,St Johns Specialty Hospital,New Orleans,LA
6720107.0,Closed,Richland Parish Rehab Hospital,Rayville,LA
6720161.0,Closed,Edgewood Hospital,Marion,LA
6720162.0,Closed,Gulf States LTAC of Morgan,Morgan City,LA
6720164.0,Closed,St Anne Rehab Hospital,Raceland,LA
6720166.0,Closed,St Luke's Rehab Hospital,Shreveport,LA
6720184.0,Closed,Behavioral Hospital of Baton Rouge,Baton Rouge,LA
6720187.0,Closed,Sherlington Rehab Hospital,Bernice,LA
6720202.0,Closed,Behavioral Hosp of Shreveport,Shreveport,LA
6730042.0,Closed,Centris,Oklahoma City,OK
6730063.0,Inpatient care other than hospital,Kindred Hospital-Oklahoma City,Oklahoma City,OK
6740054.0,Closed,Daybreak Residential Center,Beaumont,TX
6740114.0,Closed,Mental Health Connections,Dallas,TX
6740148.0,Status changed from nonregistered to registered,Seton Northwest Hospital,Austin,TX
6740174.0,Closed,Cornerstone Hosp of Central TX,Austin,TX
6740229.0,Merged into 6740079,Cornerstone Hosp of Houston,Webster,TX
6740233.0,Status changed from nonregistered to registered,Seton Southwest Healthcare Center,Austin,TX
6740270.0,Closed,West Texas Medical Center,Midland,TX
6740315.0,Closed,LifeCare Hosp of South Texas,McAllen,TX
6740337.0,Closed,West Texas Hospital,Abilene,TX
6741242.0,Closed,NCED Mental Health Center,El Paso,TX
6741952.0,Merged into 6741950,Memorial Hermann NW Hosp,Houston,TX
6850045.0,Closed,Memorial Hospital,Albuquerque,NM
6860039.0,Closed,Select Specialty Hospital-Mesa,Mesa,AZ
6880031.0,Status changed from nonregistered to registered,Renown South Meadows Center,Reno,NV
6930116.0,Status changed from nonregistered to registered,Continental Rehab Hospital,San Diego,CA
