ID,REASON FOR ADDITION,HOSPITAL NAME,CITY,STATE
6040007,Status changed from nonregistered to registered,Hospital Manati Medical Center,Manati,PR
6040008,Newly Registered,Hosp Metropolitano San German,San German,PR
6040011,Status changed from nonregistered to registered,Hospital San Carlos Borromeo,Moca,PR
6040012,Status changed from nonregistered to registered,Hospital San Cristobal,Coto Laurel,PR
6140024,Newly Registered,Kindred Hospital Northeast,Braintree,MA
6140645,Newly registered,Brockton VA Medical Center,Brockton,MA
6160130,Demerged from 6160010*,St Vincent's Behavioral Hlth,Westport,CT
6220021,Status changed from nonregistered to registered,Kindred Hospital-New Jersey Morris County,Dover,NJ
6220023,Status changed from nonregistered to registered,Healthsouth Rehabilitation Hospital of Vineland,Vineland,NJ
6220024,Status changed from nonregistered to registered,Select Specialty Hospital-Northeast New Jersey,Rochelle Park,NJ
6230059,Status changed from nonregistered to registered,Select Specialty Hospital-Danville,Danville,PA
6230064,Status changed from nonregistered to registered,Kindred Hospital - Delaware County,Darby,PA
6230066,Status changed from nonregistered to registered,Kindred Hospital-Wyoming Valley,Wilkes-Barre,PA
6230067,Status changed from nonregistered to registered,Kindred Hospital-Heritage Valley,Beaver,PA
6230071,Status changed from nonregistered to registered,Select Specialty Hospital-Camp Hill,Camp Hill,PA
6230072,Status changed from nonregistered to registered,Select Specialty Hospital-Erie,Erie,PA
6230074,Status changed from nonregistered to registered,Select Specialty Hospital-Laurel Highlands,Greensburg,PA
6230076,Status changed from nonregistered to registered,Select Specialty Hospital-Johnstown,Johnstown,PA
6230078,Status changed from nonregistered to registered,Select Specialty Hospital-UPMC,Pittsburgh,PA
6230079,Status changed from nonregistered to registered,Select Specialty Hospital-McKeesport,McKeesport,PA
6230088,Newly registered,Penn State Hersey Rehab Hosp,Harrisburg,PA
6231480,Demerged from 6230048*,Muncy Valley Hospital,Muncy,PA
6233485,Demerged from 6230048*,Divine Providence Hospital,Williamsport,PA
6233500,Demerged from 6230048*,Williamsport Hosp & Med Ctr,Williamsport,PA
6310011,Status changed from nonregistered to registered,Select Specialty Hospital-Wilmington,Wilmington,DE
6340017,Status changed from nonregistered to registered,Snowden at Fredericksburg,Fredericksburg,VA
6340034,Newly registered,Kindred Hospital Richmond,Richmond,VA
6340036,Newly registered,Healthsouth Rehab Hospital,Petersburg,VA
