2015 TOTAL,622,616,6
Status changed from non‐registered to registered,3.0,3.0,0.0
Changed to inpatient care other than a hospital,0.0,0.0,0.0
Changed to an outpatient facility,0.0,0.0,0.0
Closed,11.0,11.0,0.0
Demerged,0.0,0.0,0.0
Duplicate record,0.0,0.0,0.0
Merged to form a new hospital,0.0,0.0,0.0
Merged into a hospital already on file,4.0,4.0,0.0
Temporarily inactive record,1.0,1.0,0.0
TOTAL DELETIONS,19.0,19.0,0.0
Status changed from registered to non‐registered,1.0,1.0,0.0
Demerger result,0.0,0.0,0.0
Merger result,0.0,0.0,0.0
Newly added to the non‐registered file,39.0,36.0,3.0
Previously closed/reopened,0.0,0.0,0.0
Duplicate record,0.0,0.0,0.0
TOTAL ADDITIONS,40.0,37.0,3.0
