ID,NAME,CITY,STATE,MERGER RESULT ID,MERGED NAME,MERGED CITY,MERGED STATE
6140028,Kindred Hospital Park View,Rochdale,MA,6141965,Kindred Hospital Park View,Springfield,MA
6160130,St Vincent's Behavioral Health,Westport,CT,6160010,St Vincent's Medical,Bridgeport,CT
6210160,Amsterdam Memorial Hospital,Amsterdam,NY,6210170,St Mary's Hospital,Amsterdam,NY
6213030,Manhattan EET Hospital,New York,NY,6212190,Adirondack Medical Center- Lake Placid Site,Saranac Lake,NY
6220028,Kindred Hosp New Jersey-,Rahway,NJ,6220021,Kindred Hospital-New Jersey,Morris County,NJ
6220029,Kindred Hosp New Jersey-Wayne,Wayne,NJ,6220021,Kindred Hospital-New Jersey,Morris County,NJ
6230087,Comprehensive Breast Care Inst,Bensalem,PA,6231345,Holy Redeemer Hospital & Med Center,Jenkintown,PA
6230920,Polyclinic Hospital,Harrisburg,PA,6230039,Pinnacle Health System,Harrisburg,PA
6230140,Memorial Med Center-Lee,Johnstown,PA,6230052,Memorial Medical Center,Johnstown,PA
6430029,Kindred Chicago Lakeshore,Chicago,IL,6430420,Kindred Chicago Central Hospital,Chicago,IL
6430845,Kindred Hospital Chicago North,Chicago,IL,6430420,Kindred Chicago Central Hospital,Chicago,IL
6431050,St Mary & Elizabeth Med Center,Chicago,IL,6431090,St Mary and Elizabeth Medical Center - Division Street,Chicaog,IL
6720885,Ville Platte Medical Center,Ville Platte,LA,6720409,Mercy Regional Medical Center,Ville Platte,LA
6741950,Mem Hermann Southwest,Houston,TX,6741952,Memorial Hermann Northwest Hospital,Houston,TX
6860044,Kindred Hospital Arizona,Scottsdale,AZ,6860575,Kindred Hospital Arizona - Phoenix,Phoenix,AZ
6930910,Hanford Comm Medical Center,Hanford,CA,6930274,Hanford Community Medical Center,Hanford,CA
6931124,Saddleback Mem Medical Center,Laguna Hills,CA,6930272,Saddleback Mem Medical Center,Laguan Hills,CA
6931783,Comm Hospital of Los Gatos,Los Gatos,CA,6931392,El Camino Hospital,Mountain View,CA
6932769,Saddleback Mem Medical Center,San Clemente,CA,6930272,Saddleback Mem Medical Center,Laguan Hills,CA
6933260,Alameda County Medical Center,San Leadro,CA,6930275,Alameda County Medical Center,Oakland,CA
6933378,Kindred Hospital Santa Ana,Santa Ana,CA,6930127,Kindred Hospital-La Mirada,La Mirada,CA
6933510,Selma Community Hospital,Selma,CA,6930274,Hanford Community Medical Center,Hanford,CA
6933565,Kindred Hospital San Gabriel,West Colvina,CA,6930127,Kindred Hospital-La Mirada,La Mirada,CA
