ID,REASON FOR ADDITION,HOSPITAL NAME,CITY,STATE
6140028,Newly Added,Kindred Hospital Park View,Rochdale,MA
6210060,Newly Added,Brooklyn Children's Psych Ctr,Brooklyn,NY
6210061,Newly Added,Eddy Cohoes Rehab Center,Cohoes,NY
6211135,Status changed from registered to,St Joseph Hospital,Cheektowaga,NY
6220028,nNoenwrleyg Aisdtedreedd,Kindred Hosp New Jersey-Rahway,Rahway,NJ
6220029,Newly Added,Kindred Hosp New Jersey-Wayne,Wayne,NJ
6220031,Newly Added,Specialty Hospital at Kimball,Lakewood,NJ
6220275,Newly added,South Jersey Healthcare-Elmer,Elmer,NJ
6230063,Newly Added,Good Shepherd Specialty Hosp,Bethlehem,PA
6230068,Newly Added,Triumph Hospital Easton,Easton,PA
6230082,Newly Added,Eastern Regional Medical Ctr,Philadelphia,PA
6230084,Newly Added,Edgewood Surgical Hospital,Transfer,PA
6230087,Newly Added,Comprehensive Breast Care Inst,Bensalem,PA
6230920,Demerged from 6230039*,Polyclinic Hospital,Harrisburg,PA
6310012,Newly added,Dover Behavioral Health System,Dover,DE
6370032,Newly added,Greenwood Reg Rehab Hospital,Greenwood,SC
6380048,Newly added,Landmark Hospital of Athens,Athens,GA
6390238,Status changed from registered to,Southwest Florida Reg Med Ctr,Fort Myers,FL
6410068,Newly added,Acuity Specialty Hospital,Steubenville,OH
6410071,Newly added,Barix Clinics of Ohio,Groveport,OH
6410073,Newly added,Medical Center at Elizabeth Pl,Dayton,OH
6410076,Newly added,Ten Lakes Center,Dennison,OH
6410078,Newly added,Medical Center of Newark,Newark,OH
6420063,Newly added,Renaissance Specialty Hospital,Muncie,IN
6420071,Newly added,Surgical Hospital of Munster,Munster,IN
6420072,Newly added,Pinnacle Hospital,Crown Point,IN
6420073,Newly added,Doctor's Hospital,Bremen,IN
6420074,Newly added,RiverCrest Specialty Hospital,Mishawaka,IN
6420077,Newly added,Southlake Ctr for Mental Hlth,Gary,IN
6420079,Newly added,St Elizabeth Ann Seton Hosp,Kokomo,IN
6430035,Newly added,Lincoln Prairie Behavioral Ctr,Springfield,IL
6440049,Newly added,Henry Ford West Bloomfield Hsp,West Bloomfield,MI
6440054,Newly added,BCA Stonecrest Center,Detroit,MI
6520050,Newly added,Rolling Hills Hospital,Franklin,TN
6610023,Newly added,Comm Behavioral Health Hosp,Alexandria,MN
6610024,Newly Added,Comm Behavioral Health Hosp,Annandale,MN
6610025,Newly added,Comm Behavioral Health Hosp,Rochester,MN
6640012,Newly added,Triumph Hosp - Central Dakotas,Mandan,ND
6670047,Newly added,"Summit Surgical, LLC",Hutchinson,KS
6710032,Newly added,Living Hope Little Rock,Little Rock,AR
6710033,Newly added,Allegiance Specialty Hospital,Little Rock,AR
6710034,Newly added,Advanced Care Hosp of White Co,Searcy,AR
6720147,Newly added,South Cameron Mem Hospital,Cameron,LA
6720208,Newly added,Greater Baton Rouge Surg Hosp,Baton Rouge,LA
6720209,Newly added,United Medical Rehab Hospital,Hammond,LA
6720210,Newly added,NeuroMedical Ctr Rehab Hosp,Baton Rouge,LA
6720214,Newly added,Promise Hosp of Bossier City,Bossier City,LA
6720216,Newly added,Bethesda Rehabilitation Hosp,Baton Rouge,LA
6720218,Newly added,Magnolia Behavioral Healthcare,Bogalusa,LA
6720219,Newly added,Compass Behavioral Center,Crowley,LA
6720220,Newly added,Oceans Behavioral Hospital,De Ridder,LA
6720221,Newly added,Meadowcrest Specialty Hospital,Gretna,LA
6720222,Newly added,Gulf States LTAC of Houma,Houma,LA
6720223,Newly added,Jennings Senior Care Hospital,Jennings,LA
6720224,Newly added,Rehab Hospital of Jennings,Jennings,LA
6720226,Newly added,Gulf States LTAC New Orleans,Kenner,LA
6720227,Newly added,Oceans Behavioral Hospital,Kentwood,LA
6720228,Newly added,Lafayette Physical Rehab Hosp,Lafayette,LA
6720229,Newly added,Optima Specialty Hospital,Lafayette,LA
6720232,Newly added,South Park Hospital,Lafayette,LA
6720233,Newly added,Lake Charles Memorial Hosp,Lake Charles,LA
6720234,Newly added,Oceans Behavioral Hospital,Lake Charles,LA
6720236,Newly added,Doctor's Hosp of Deer Creek,Leesville,LA
6720240,Newly added,Iberia Rehabilitation Hospital,New Iberia,LA
6720242,Newly added,Psychiatric Pav New Orleans,New Orleans,LA
6720245,Newly added,St Catherine Memorial Hospital,New Orleans,LA
6720249,Newly added,Oceans Behavioral Hospital,Opelousas,LA
6720251,Newly added,Allegiance Health Center,Ruston,LA
6720256,Newly added,Specialists Hosp - Shreveport,Shreveport,LA
6720257,Newly added,Endeavor Seniorcare Hospital,Winnsboro,LA
6720262,Newly added,Physicians Behavioral Hospital,Shreveport,LA
6720263,Newly added,Stonewall Hospital,Stonewall,LA
6720264,Newly added,Regional Hospital of Acadiana,Lafayette,LA
6730071,Newly added,Cedar Ridge Hospital,Oklahoma City,OK
6730078,Newly added,Solara Hospital of Muskogee,Muskogee,OK
6740357,Newly added,First Street Hospital,Bellaire,TX
6740376,Newly added,Covenant Specialty Hospital,Lubbock,TX
6740391,Newly added,Atrium Medical Ctr of Corinth,Denton,TX
6740394,Newly added,Ethicus Hospital - Grapevine,Grapevine,TX
6740395,Newly added,Foundation Surgical Hospital,San Antonio,TX
6740397,Newly added,Gulf States LTAC of Dallas,Dallas,TX
6740398,Newly added,Integra Hospital Plano,Plano,TX
6740401,Newly added,North Central Surgical Center,Dallas,TX
6740403,Newly added,Scott and White Continuing Hsp,Temple,TX
6740405,Newly added,Solara Hospital Brownsville,Brownsville,TX
6740408,Newly added,University Behavioral Health,El Paso,TX
6740410,Newly added,USMD Hospital at Fort Worth,Fort Worth,TX
6740419,Newly added,Doctors' Hospital,Bridgeport,TX
6740421,Newly added,Reliant Rehabilitation Hosp,Round Rock,TX
6810012,Newly added,Advanced Care Hospital,Billings,MT
6820009,Newly added,Beacon Hospital and Rehab,Pocatello,ID
6820017,Newly added,Mountain River Birthing Center,Blackfoot,ID
6820018,Newly added,Northern Idaho Advanced Hosp,Post Falls,ID
6820019,Newly added,Southwest Idaho Advanced Hosp,Boise,ID
6820022,Newly added,Complex Care Hospital of Idaho,Meridian,ID
6830003,Newly added,Mountain View Regional Hosp,Casper,WY
6840037,Newly added,Northern Colorado Acute Hosp,Johnstown,CO
6840039,Newly added,Highlands Behavioral Hlth Syst,Highlands Ranch,CO
6840041,Newly added,Pagosa Mountain Hospital,Pagosa Springs,CO
6850023,Newly added,Advanced Care Hospital,Las Cruces,NM
6850024,Newly added,Roswell Regional Hosp,Roswell,NM
6850026,Newly added,Physicians Med Ctr of Santa Fe,Santa Fe,NM
6860042,Newly added,Gilbert Hospital,Gilbert,AZ
6860047,Newly added,Mountain Vista Medical Center,Mesa,AZ
6860233,Newly added,Aurora Behavioral Hlth Syst,Glendale,AZ
6870015,Newly added,Utah Valley Specialty Hospital,Provo,UT
6880034,Newly added,Vegas Valley Rehab Hospital,Las Vegas,NV
6880039,Newly added,Centennial Hills Hosp Med Ctr,Las Vegas,NV
6880041,Newly added,Spring Mountain Sahara,Las Vegas,NV
6910605,Formerly ambulatory care,Group Health Central Hospital,Seattle,WA
6920012,Newly added,Sacred Heart Medical Center,Springfield,OR
6930132,Newly added,Miracle Mile Medical Center,Los Angeles,CA
6930137,Newly added,Kaiser Foundation Hospital,Antioch,CA
6930144,Merger result of 6931880 and,Rideout Memorial Hospital,Marysville,CA
6931783,Status changed from registered to,Comm Hospital of Los Gatos,Los Gatos,CA
6932603,Demerged from 6932585*,Knollwood Psychiatric Center,Riverside,CA
6940007,Newly added,St Elias Specialty Hospital,Anchorage,AK
