ID,HOSPITAL NAME,CITY,STATE,REASON FOR ADDITION
6230289.0,Surgical Institute of Reading,Wyomissing,PA,Newly added
6230292.0,Good Shepherd Penn Partners,Philadelphia,PA,Newly added
6230293.0,Rothman Specialty Hospital,Bensalem,PA,Newly added
6230499.0,OSS Orthopaedic Specialty,York,PA,Newly added
6340237.0,Rehabilitation Hospital of,Bristol,VA,Newly added
6349172.0,Transitional Care Hospital,Charlottesville,VA,Newly added
6370035.0,Mount Pleasant Hospital,Mount Pleasant,SC,Newly added
6380252.0,Landmark Hospital of Athens,Athens,GA,Newly added
6380253.0,RiverWoods Behavioral Health,Riverdale,GA,Newly added
6390404.0,Viera Hospital,Melbourne,FL,Newly added
6390405.0,Sacred heart Hospital on the Gulf,Port St. Joe,FL,Newly added
6390417.0,Lakeside Behavioral Healthcare-,Orlando,FL,Newly added
6390422.0,Emerald Coast Behavioral Hospital,Panama City,FL,Newly added
6410299.0,Life Line Hospital,Steubenville,OH,Newly added
6420288.0,Community Mental Health Center,Lawrenceburg,IN,Newly added
6420290.0,The Heart Hospital at Deaconess,Newburgh,IN,Newly added
6450238.0,Midwest Orthopedic specialty,Franklin,WI,Newly added
6450242.0,Rehabilitation Hospital of,Waukesha,WI,Newly added
6710239.0,Physicians' Specialty Hospital,Fayetteville,AR,Newly added
6720494.0,Oceans Behavioral Hospital of,Alexandria,LA,Newly added
6740647.0,Methodist rehabilitation Hospital,Dallas,TX,Newly added
6740648.0,Behavioral Hospital of Bellaire,Houston,TX,Newly added
6740649.0,Reliant Rehabilitation Hospital,Shnandoah,TX,Newly added
6740655.0,St. Luke's Hospital at Vintage,Houston,TX,Newly added
6740663.0,Baylor Institute for Rehabilitation,Frisco,TX,Newly added
6470664.0,Texas Rehabilitation Hospital of,Fort Worth,TX,Newly added
6740839.0,Methodist Hospital for Surgery,Addison,TX,Newly added
6740882.0,Texas Health Heart & Vascular,Arlington,TX,Newly added
6740884.0,Mesquite Rehabilitation Hospital,Mesquite,TX,Newly added
6740885.0,Reliant Rehabilitation Hospital,Dallas,TX,Newly added
6740886.0,Heritage Park Surgical Hospital,Sherman,TX,Newly added
6740887.0,Sundance Hospital,Arlington,TX,Newly added
6740888.0,Westbury Community Hospital,Houston,TX,Newly added
6740889.0,Reliant Rehabilitation Hospital,Bedford,TX,Newly added
6743112.0,Clarity Child Guidance Center,San Antonio,TX,Previously listed as
6860261.0,Sonora Behavioral Health Hospital,Tucson,AZ,Newly added
6879346.0,Blue Mountain Hospital,Blanding,UT,Newly added
6880042.0,Red Rock Behavioral Hospital,Las Vegas,NV,Newly added
6919096.0,Swedish/Issaquah,Issaquah,WA,Newly added
