ID,REASON FOR DELETION,HOSPITAL NAME,CITY,STATE
6040007,Status changed from nonregistered to registered,Hospital Manati Medical Center,Manati,PR
6040011,Status changed from nonregistered to registered,Hospital San Carlos Borromeo,Moca,PR
6040012,Status changed from nonregistered to registered,Hospital San Cristobal,Coto Laurel,PR
6220021,Status changed from nonregistered to registered,Kindred Hospital-New Jersey MorrisCounty,Dover,NJ
6220023,Status changed from nonregistered to registered,Healthsouth Rehabilitation Hospital ofVineland,Vineland,NJ
6220024,Status changed from nonregistered to registered,Select Specialty Hospital-NortheastNew Jersey,Rochelle Park,NJ
6220440,Closed,LibertyHealth-Greenville Hosp,Jersey City,NJ
6230056,Closed,Temple Univ Children's Med Ctr,Philadelphia,PA
6230059,Status changed from nonregistered to registered,Select Specialty Hospital-Danville,Danville,PA
6230064,Status changed from nonregistered to registered,Kindred Hospital - Delaware County,Darby,PA
6230066,Status changed from nonregistered to registered,Kindred Hospital-Wyoming Valley,Wilkes-Barre,PA
6230067,Status changed from nonregistered to registered,Kindred Hospital-Heritage Valley,Beaver,PA
6230069,Closed,Triumph Hospital Harrisburg,Harrisburg,PA
6230071,Status changed from nonregistered to registered,Select Specialty Hospital-Camp Hill,Camp Hill,PA
6230072,Status changed from nonregistered to registered,Select Specialty Hospital-Erie,Erie,PA
6230074,Status changed from nonregistered to registered,Select Specialty Hospital-LaurelHighlands,Greensburg,PA
6230076,Status changed from nonregistered to registered,Select Specialty Hospital-Johnstown,Johnstown,PA
6230078,Status changed from nonregistered to registered,Select Specialty Hospital-UPMC,Pittsburgh,PA
6230079,Status changed from nonregistered to registered,Select Specialty Hospital-McKeesport,McKeesport,PA
6310011,Status changed from nonregistered to registered,Select Specialty Hospital-Wilmington,Wilmington,DE
6340017,Status changed from nonregistered to registered,Snowden at Fredericksburg,Fredericksburg,VA
6350100,Closed,St Luke's Hospital,Bluefield,WV
6350670,Closed,Richwood Area Comm Hosp,Richwood,WV
6360025,Status changed from nonregistered to registered,Asheville Specialty Hospital,Asheville,NC
6360027,Status changed from nonregistered to registered,Select Specialty Hospital-Durham,Durham,NC
6360028,Status changed from nonregistered to registered,Select Specialty Hospital-Winston-Salem,Winston-Salem,NC
6360243,Closed,Yancey Community Medical Ctr,Burnsville,NC
6370026,Status changed from nonregistered to registered,Kindred Hospital-Charleston,Charleston,SC
6370200,Closed,South Carolina State Hospital,Columbia,SC
6370320,Closed,Greenville General Hospital,Greenville,SC
6380031,Status changed from nonregistered to registered,Select Specialty Hospital-Atlanta,Atlanta,GA
6380033,Status changed from nonregistered to registered,Select Specialty Hospital-Savannah,Savannah,GA
6380042,Status changed from nonregistered to registered,Select Specialty Hospital,Augusta,GA
6380955,Status changed from nonregistered to registered,Tattnall Community Hospital,Reidsville,GA
6390117,Status changed from nonregistered to registered,Select Specialty Hospital-Miami,Miami,FL
6390119,Status changed from nonregistered to registered,Select Specialty Hospital-Orlando,Orlando,FL
6390121,Status changed from nonregistered to registered,Select Specialty Hospital-Panama City,Panama City,FL
6390129,Status changed from nonregistered to registered,Kindred Hospital Ocala,Ocala,FL
6390290,Merged into 6399040*,Kindred Hospital South Florida,Hollywood,FL
6410043,Status changed from nonregistered to registered,Mount Carmel New Albany SurgicalHospital,New Albany,OH
6410046,Status changed from nonregistered to registered,Select Specialty Hospital-Cincinnati,Cincinnati,OH
6410052,Status changed from nonregistered to registered,Kindred Hospital Cleveland - Gateway,Cleveland,OH
