ID,REASON FOR DELETION,HOSPITAL NAME CITY,STATE
6380197,Not a hosp - Psych Fac,Laurel Heights Hospital Atlanta,GA
6420029,Status changed to registered,Franciscan St. Francis Health Indianapolis,IN
6420071,Outpatient,Surgical Hospital of Munster Munster,IN
6440047,Status changed to registered,Sparrow Specialty Hospital Lansing,MI
6450014,Closed,Charter Behavioral Hlth System West Allis,WI
6450027,Outpatient,Children's Hospital of Wisconsin Kenosha,WI
6540380,Closed,Charter Behavioral Hlth System Jackson,MS
6610026,Not a hospital - Psych Facility,Community Behavioral Health Hosp Wadena,MN
6610028,Closed,Community Behavioral Health Hospital Cold Spring,MN
6650016,Status changed to registered,Spearfish Regional Surgery Center Spearfish,SD
6710020,Closed,Living Hope Texarkana Texarkana,AR
6710033,Status changed to registered,Allegiance Specialty Hospital Little Rock,AR
6720102,Merged into 6720639,River Oaks Child and Adolescence New Orleans,LA
6720103,Merged into 6720670,Touro Rehabilitation Center New Orleans,LA
6720119,Status changed to registered,Heart Hospital of Lafayette Lafayette,LA
6720201,Closed,Golden Age Senior Care Hospital Monroe,LA
6720384,Status changed to registered,Doctor's Hospital of Deer Creek Leesville,LA
6730059,Closed,Continuous Care Centers of BartlesvilleBartlesville,OK
6740162,Status changed to registered,LifeCare Hospitals of Dallas Dallas,TX
6740319,Closed,Lakeside Hospital at Bastrop Bastrop,TX
6740382,Closed,Apex Hospital - Katy Katy,TX
6740398,Closed,Integra Hospital Plano Plano,TX
6740548,Closed,Acuity Hospital of Houston Houston,TX
6880024,Closed,University Medical Center Las Vegas,NV
